units - 2007 US$
CO2

1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,4958609544.4623365,0.0,0.0,0.0,0.0,7553728.7048160005,0.0,5100.7309919999998,65206.971731999998,17733365481.603073,4016549983.215168,0.0,0.0,0.0,26716149045.688118
TEMF,1560554662.6252799,1181848291.8359039,82912813.737599999,0.0,2137036612.0427523,393306980.72063994,4500285.7670400003,0.0,167368672.493568,1306638595.067904,3382813119.4798079,1592970547.3597438,0.0,4939179048.5667839,16749129629.697023
DEFO,0.0,0.0,1659467453.9519999,2360130681.8826241,32003877778.489346,0.0,0.0,4781892368.8704004,2393861128.1141758,0.0,637167648.61747193,4643358726.021121,128319889737.25287,321486408.52372801,177121131931.72375
PEAT,298050201.73824,0.0,0.0,0.0,0.0,58870.453824000004,0.0,0.0,0.0,233764397.77151999,4555955.3472614996,0.0,133567046542.88486,0.0,134103475968.19571
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,6817214408.8258562,1181848291.8359039,1742380267.6896,2360130681.8826241,34140914390.532097,400919579.87927991,4500285.7670400003,4781897469.6013927,2561295007.5794759,19273768474.442497,8041086706.659709,6236329273.3808651,261886936280.13773,5260665457.0905123,354689886575.30457

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,19955846212.485119,0.0,0.0,0.0,0.0,11628977.486531999,0.0,2830.1081760000002,73493.065967999995,63846259411.845116,3160964637.4871035,0.0,0.0,0.0,86974775562.478012
TEMF,1731947241.3573117,1474237669.2449279,778776177.41683197,0.0,1825678501.8716161,331373229.63763207,16209067.832832001,0.0,347743236.51379192,1047506583.1587839,3767600991.4368,2268619257.5692801,0.0,3538811183.8248968,17128503139.864704
DEFO,0.0,0.0,25492494153.240582,3878229331.5010562,57657785389.940735,0.0,0.0,17113556881.010689,2490831741.2966394,0.0,889261595.99155211,16681792076.914942,21145712000.630783,450625217.114016,145800288387.64099
PEAT,1298777352.241152,0.0,0.0,0.0,0.0,1039951.074624,0.0,0.0,0.0,812652656.18611205,3035051.9195639999,0.0,2271676715.1539998,0.0,4387181726.5754519
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,22986570806.083584,1474237669.2449279,26271270330.657413,3878229331.5010562,59483463891.812347,344042158.19878805,16209067.832832001,17113559711.118864,2838648470.8763995,65706418651.19001,7820862276.8350201,18950411334.484222,23417388715.784782,3989436400.9389129,254290748816.55914

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,8211433903.3251839,0.0,0.0,0.0,0.0,2452675.4987280001,0.0,2586.4848240000001,67570.931651999999,20432680507.416576,1405184902.39008,0.0,0.0,0.0,30051822146.047043
TEMF,795252696.9569279,3109260642.5825276,349767020.03712004,0.0,2531526307.0863366,272195613.03244805,8001273.1491839988,0.0,154535007.01900801,1259175444.7749119,3120384689.3076472,4416378122.6987524,0.0,3316496517.5623679,19332973334.20723
DEFO,0.0,0.0,1613186757.5685122,1289518694.9406719,48368214206.054405,0.0,0.0,8407469331.0397434,1743916443.1073279,0.0,602993014.28083205,11468173430.525955,14212301391.396864,832375783.81439996,88538149052.728729
PEAT,628173964.50816,0.0,0.0,0.0,0.0,57120.871583999993,0.0,0.0,0.0,325464264.114528,1891015.132461,0.0,4387793196.2175369,0.0,5343379560.8442698
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,9634860564.7902718,3109260642.5825276,1962953777.6056323,1289518694.9406719,50899740513.140739,274705409.40276003,8001273.1491839988,8407471917.5245676,1898519021.0579879,22017320216.306019,5130453621.1110201,15884551553.224709,18600094587.614403,4148872301.3767681,143266324093.82727

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,4279915984.0604157,0.0,0.0,0.0,0.0,4034303.551488,0.0,0.0,6290.692884,23658781324.05043,2245844565.4700165,0.0,0.0,0.0,30188582467.825233
TEMF,317147723.26809603,2566932321.1284475,329976595.67308801,0.0,1755493712.2652159,422900257.76947194,3816130.9025280001,0.0,116240637.00479999,368019482.12332803,1584585694.8633602,2617619888.8734717,0.0,2824704520.0281596,12907436963.899967
DEFO,0.0,0.0,4698617459.7949429,1907933481.5063043,22593678275.051517,0.0,0.0,12915835799.322624,3887091381.2398076,0.0,331195025.12947202,7131003460.8046074,6162155202.2876158,407757408.52761602,60035267493.664505
PEAT,272031173.26694405,0.0,0.0,0.0,0.0,85377.423936000007,0.0,0.0,0.0,520976189.25273591,4043362.9145174995,0.0,734271711.93062401,0.0,1531407814.7887573
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,4869094880.5954561,2566932321.1284475,5028594055.4680309,1907933481.5063043,24349171987.316734,427019938.74489594,3816130.9025280001,12915835799.322624,4003338308.9374914,24547776995.426495,4165668648.3773661,9748623349.6780796,6896426914.2182398,3232461928.5557756,104662694740.17847

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,1961010044.4856319,0.0,0.0,0.0,0.0,217668.88819199998,0.0,0.0,0.0,20854941458.104321,743962429.980672,0.0,0.0,0.0,23560131601.458817
TEMF,795541363.55635202,1257879975.6902399,50817757.584384009,0.0,1223650018.5907202,150984892.649472,6547717.7243519993,0.0,227274689.74694401,650472243.15494394,1830753601.3885438,1823361256.5504,0.0,3259328533.3647356,11276612050.001087
DEFO,0.0,0.0,1112029999.1808,2508426588.48768,11202637472.022528,0.0,0.0,6433936668.9669123,11968464968.871937,0.0,222312818.12275201,3344021854.3226886,3504188643.508224,944666956.41292799,41240685969.896446
PEAT,189004581.42719999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718045428.97987199,2570022.2429280002,0.0,3574046076.174336,0.0,4483666108.8243361
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,2945555989.4691839,1257879975.6902399,1162847756.7651839,2508426588.48768,12426287490.613247,151202561.537664,6547717.7243519993,6433936668.9669123,12195739658.618881,22223459130.23914,2799598871.7348962,5167383110.8730888,7078234719.68256,4203995489.7776637,80561095730.180695

2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,19990071403.094017,0.0,0.0,0.0,0.0,852484.16870400007,0.0,0.0,0.0,36981775100.669952,2958174752.7843838,0.0,0.0,0.0,59930873740.717064
TEMF,631307435.45856011,2678629157.5357442,106601847.73324798,0.0,1620471962.4683521,237577935.24729598,8703831.177215999,0.0,118271707.29830398,1485811854.6109438,1310072332.0258563,896524178.53286397,0.0,6636086239.2975359,15730058481.385918
DEFO,0.0,0.0,1657695090.4012802,633869946.02803195,32230624342.081535,0.0,0.0,7122137885.9581451,11308010728.675585,0.0,116337809.473536,5225749261.651968,34826403148.529663,858894405.47635198,93979722618.276093
PEAT,1568474516.4963839,0.0,0.0,0.0,0.0,53555.002536,0.0,0.0,0.0,560540957.31379211,2646140.30688,0.0,24723902571.282433,0.0,26855617740.402023
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,22189853355.048962,2678629157.5357442,1764296938.1345282,633869946.02803195,33851096304.549889,238483974.41853598,8703831.177215999,7122137885.9581451,11426282435.973888,39028127912.594688,4387231034.5906553,6122273440.1848316,59550305719.812096,7494980644.7738876,196496272580.78113

2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,11512604868.108286,0.0,0.0,0.0,0.0,2193380.0340479999,0.0,0.0,314179.03103999997,64025127203.275398,3314668833.5953922,0.0,0.0,0.0,78854908464.044174
TEMF,968920119.85305595,2054141141.0903039,71845148.159232005,0.0,1863147341.2177918,505974835.79596794,8152245.8142720014,0.0,216354165.35040003,406044234.23692799,1355084096.0778239,2230790094.7476487,0.0,13224526991.32723,22904980413.670654
DEFO,0.0,0.0,8956632862.8510723,6881924325.9002886,28475880395.440128,0.0,0.0,5128808499.1180801,9931672765.4645767,0.0,516702337.10592008,4785436566.6508799,8794881680.277504,1067351092.03968,74539290524.848114
PEAT,1458245262.4219198,0.0,0.0,0.0,0.0,122255.44128,0.0,0.0,0.0,1415885144.1371279,6787174.9780800026,0.0,5829545842.4340477,0.0,8710585679.4124546
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,13939770250.383263,2054141141.0903039,9028478011.0103035,6881924325.9002886,30339027736.657921,508290471.27129596,8152245.8142720014,5128808499.1180801,10148341109.846016,65847056581.64946,5193242441.7572155,7016226661.3985291,14624427522.711552,14291878083.366911,185009765081.97537

2004
